Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
1.0	-0.18666990063852903	-2.3629553203067104	2.2700111043207345	0.9108946055027634	-0.022506089930723228	2.393125795080615	2.1458956876311097	2.5711376473778547	-2.93773505563737
2.0	-0.7705671086856845	0.011174511178165147	1.2582728593190664	0.7828480985676869	-2.048606208736283	-1.2763493979018157	-1.4975773593121144	1.64212518066725	-2.935898436121179
3.0	-0.34032125180599726	-1.6379200321893048	-2.9366964402085127	-0.05945515556593195	0.7563128455863719	-0.09918221593360776	-0.619888035028862	-0.8264860085253618	-2.38150853970565
4.0	-0.5091604395977475	-2.815446375695893	0.5735824457333383	1.3617538850806863	0.5682441133328147	-0.7922855176381844	-1.1557759442176672	-0.6548783093438821	0.8531861946668036
5.0	-0.12892007864615312	-1.6626027974533837	0.4622789410278303	-2.1368327285956648	0.4977308512725287	-2.030892802821906	-0.07312077966240427	-0.37102848363399143	0.672108081083362
6.0	-0.8261159831787059	0.4235786663941741	1.4940114054542617	0.5254230223034542	-1.4680875158721827	-2.7048093482987374	-2.3645884865541693	2.6896892638027046	-2.9364988584006007
7.0	-0.5352537547726056	0.6316680261207422	1.5627457315341633	1.4275908222800051	-2.472838323229618	-2.233971484857585	-2.693675391059169	2.291314378576843	-3.0
8.0	-0.8711490982898616	0.16979142346440868	1.3687287686693086	0.28707911548875503	-1.3418145148762648	-2.2520737094892787	-1.8487674457917953	2.397176934436721	-2.948535025388353
9.0	-0.8681586299990175	0.4405804297925966	1.5484461427897123	-0.4332971093718027	-0.6442985904047042	-2.8891399213685665	-1.760619660330717	3.0	-3.0
10.0	-0.8563980517006161	-0.9726090523700504	1.0811356838571744	0.06460031916937027	-0.7892474667359479	-2.8893845849592816	-2.2187229907818917	3.0	-3.0
11.0	-0.8623553094729591	0.16838163626858538	0.9048470390097927	-0.8610827078467644	-0.9166442566831305	-1.718890526399313	-2.862430949386856	3.0	-3.0
12.0	-0.8553834744126381	0.10561833511900826	0.29785290311829066	-0.9314010784833772	-2.0639874628614496	-2.823762602144944	-1.609401707301136	3.0	-3.0
13.0	-0.8716913293486533	0.7319840074532865	-0.19176482088717045	0.28687004115939346	-0.3787972670136508	-2.6402748564871374	-1.9789348152697213	3.0	-3.0
14.0	-0.8815540444564124	3.0	-0.9334672844218482	-2.2418555501450945	-0.681886877897403	-3.0	-3.0	3.0	-3.0
15.0	-0.5391476257082298	3.0	-3.0	-3.0	-3.0	-3.0	-3.0	3.0	-3.0
16.0	-0.8492160558480044	3.0	0.25447252788578417	-1.3496665809340962	0.8362483777793605	-3.0	-3.0	3.0	-3.0
17.0	-0.8674411659890048	3.0	1.312455184963709	-3.0	-1.0520770697405808	-3.0	-3.0	3.0	-3.0
18.0	-0.7895253760077289	3.0	-3.0	3.0	3.0	-3.0	-3.0	3.0	-3.0
19.0	-0.894092898865478	3.0	0.06828434463431768	-3.0	-0.07246704388447996	-0.6880045366389047	-3.0	3.0	-3.0
20.0	-0.9045749628356817	3.0	0.26900291567576445	-1.6129062965208218	-0.9018825538706358	-1.5385143211803296	-1.4925881244042318	3.0	-3.0
21.0	-0.780522269907879	3.0	3.0	-3.0	-1.5072485634559225	1.7592260937973214	-3.0	3.0	-3.0
22.0	-1.0191034353182424	3.0	-3.0	3.0	3.0	-3.0	-3.0	3.0	3.0
23.0	-1.7779294174245208	3.0	-3.0	3.0	3.0	-0.3008456397312582	-3.0	3.0	3.0
24.0	-1.9762560783385426	3.0	-3.0	3.0	3.0	1.350200171877145	-3.0	3.0	3.0
25.0	-2.218758712914638	3.0	-1.4056048019775769	3.0	3.0	1.9391199694196122	-3.0	3.0	3.0
26.0	-2.2396866236798836	3.0	0.1672256042090473	3.0	3.0	2.7635147554747745	-3.0	3.0	3.0
27.0	-2.48649674031668	3.0	-0.3974907530603774	3.0	3.0	2.384975378687965	-3.0	1.4512071521302556	3.0
28.0	-2.537115423422097	3.0	-0.3589982649107382	3.0	3.0	3.0	-3.0	-0.35436039801672836	3.0
29.0	-2.6003847792056543	3.0	0.6252754521404318	3.0	3.0	1.9093699720604569	-3.0	-0.33035195358168745	3.0
30.0	-2.6542931171501047	3.0	0.5124171475785892	3.0	3.0	2.167050318713584	-1.1999070635761762	-0.3349439077884891	3.0
31.0	-2.735190336327497	3.0	2.6770064883767133	3.0	3.0	3.0	-1.0930123629413317	-2.0822732919367817	3.0
32.0	-2.7792161115156087	3.0	2.857981728353291	3.0	3.0	3.0	1.5221355183399972	-3.0	3.0
33.0	-2.748291180678742	3.0	1.5414075246753647	3.0	3.0	3.0	0.29924646124314525	-3.0	3.0
34.0	-2.812074405659058	3.0	3.0	3.0	3.0	1.4746447886235545	0.4026307513108067	-3.0	3.0
35.0	-2.8129087203827217	3.0	3.0	3.0	0.8551215155986612	2.3841819432345073	0.6990733880685053	-3.0	3.0
36.0	-2.8031980255264646	3.0	3.0	3.0	2.044639329551289	2.2691130431665023	0.4364561537496375	-3.0	3.0
37.0	-2.816617704980584	3.0	3.0	3.0	0.8936550863152164	1.3787496085792506	3.0	-3.0	3.0
38.0	-2.7269329811900116	3.0	3.0	3.0	-1.6861580214606666	3.0	3.0	-3.0	3.0
39.0	-2.789339431623727	3.0	3.0	3.0	0.7154032265895675	3.0	3.0	-3.0	3.0
40.0	-2.7770814398216683	3.0	0.7584006532970045	3.0	-0.06812938181428843	2.0856039574533756	3.0	-3.0	3.0
41.0	-2.795114941467913	3.0	2.3018599051495765	3.0	0.980713493537951	1.8401608150239437	1.9285851512225785	-3.0	3.0
42.0	-2.8230840234085113	3.0	3.0	3.0	3.0	0.8923398057289734	3.0	-3.0	3.0
43.0	-2.6019482844809256	3.0	-3.0	3.0	3.0	3.0	3.0	-3.0	3.0
44.0	-1.33467990345625	3.0	-3.0	3.0	-3.0	3.0	3.0	-3.0	3.0
45.0	-2.7934811448055936	3.0	0.2561195345067352	3.0	3.0	1.519733674005471	3.0	-3.0	3.0
46.0	-2.786645295473977	3.0	3.0	3.0	3.0	1.6061240784514863	3.0	-3.0	-0.35506919364570005
47.0	-2.802270593649905	3.0	3.0	3.0	3.0	-0.9047305374442964	3.0	-3.0	0.7756012429726821
48.0	-2.798776982102494	3.0	3.0	3.0	3.0	1.6409063756265072	0.11596767445502841	-3.0	0.811987657817056
49.0	-2.786502881341338	3.0	0.10538757558702327	3.0	3.0	3.0	3.0	-3.0	0.8523469170379041
50.0	-2.750690792332958	3.0	-0.050536675877772656	3.0	3.0	3.0	3.0	-1.1838219183834586	3.0
51.0	-2.8049849020280804	3.0	3.0	3.0	3.0	0.8391753135761246	3.0	-3.0	1.380199152725236
52.0	-2.78570166022646	3.0	3.0	3.0	3.0	-2.5546514914593175	3.0	-3.0	3.0
53.0	-2.824232201075459	3.0	3.0	3.0	-0.23244336895124584	-1.519920286890119	3.0	-3.0	3.0
54.0	-2.7361153218421603	3.0	3.0	3.0	3.0	3.0	-3.0	-3.0	-3.0
55.0	-2.7665290291768994	3.0	3.0	3.0	3.0	3.0	0.49287667784943623	-3.0	-3.0
56.0	-2.798967969848549	3.0	3.0	3.0	-0.07296121023351551	3.0	3.0	-3.0	-0.9454660799472845
57.0	-2.731060026831702	3.0	3.0	3.0	3.0	3.0	-3.0	-3.0	0.4507126366560375
58.0	-2.816004529366777	3.0	3.0	3.0	1.430343721606667	-0.9129850738131041	3.0	-3.0	3.0
59.0	-2.7978660685529655	3.0	3.0	3.0	-0.4502829611390756	0.08958947992118961	3.0	-3.0	0.4366308010511043
60.0	-2.7887163702170223	3.0	3.0	3.0	3.0	-3.0	3.0	-3.0	-3.0
61.0	-2.6876776791626873	3.0	3.0	-0.4559611917942098	0.21577208745094648	3.0	3.0	-3.0	-3.0
62.0	-2.7781453214045344	3.0	3.0	3.0	3.0	-0.3900083519121897	-0.6746185989812936	-3.0	-3.0
63.0	-2.7755845974951705	3.0	3.0	3.0	1.1832512257437637	0.28283814737118224	3.0	-3.0	-3.0
64.0	-2.272619869320434	3.0	3.0	-0.47074758128608984	-0.637071696662746	3.0	3.0	-3.0	3.0
65.0	-2.7784197523465126	3.0	0.14229047504529405	3.0	3.0	3.0	3.0	-3.0	-3.0
66.0	-2.6963849079675826	3.0	3.0	3.0	3.0	-0.4779756995658488	-3.0	-3.0	3.0
