,0
0,1558.146635617223
1,1569.3511746370757
2,1193.6107574843863
3,1197.998069124086
4,1198.1783026920382
5,1368.70956422852
6,1194.6985499419648
7,1190.4667031824995
8,1170.8487977726954
9,1327.3740975329952
10,1180.1370387404177
11,1181.1062988273836
12,1170.0015653293924
13,1267.73476710677
14,1142.6303351765448
15,1268.4104892798255
16,1181.5427245936512
17,1222.3423609607823
18,1166.1311025384173
19,1169.4726382341782
20,1196.7066191973045
21,1166.8302954561086
22,1152.5499867214576
23,1156.6600886980839
24,1160.6560527927572
25,1153.071941932994
26,1147.1826297778869
27,1152.952058440233
28,1137.3389762871568
29,1138.834227653281
