8.554687e-01 3.906250e-01 0.0  0 0.000000e+00
8.055469e-01 3.906250e-01 0.0  0 5.000000e-03
7.618266e-01 3.920031e-01 0.0  0 1.000000e-02
7.494719e-01 4.003367e-01 0.0  0 1.500000e-02
7.279500e-01 4.060500e-01 0.0  0 2.000000e-02
6.938281e-01 4.086133e-01 0.0  0 2.500000e-02
6.851234e-01 4.175969e-01 0.0  0 3.000000e-02
6.544215e-01 4.218680e-01 0.0  0 3.500000e-02
6.045312e-01 4.218750e-01 0.0  0 4.000000e-02
5.599566e-01 4.230633e-01 0.0  0 4.500000e-02
5.466797e-01 4.311719e-01 0.0  0 5.000000e-02
5.340605e-01 4.372180e-01 0.0  0 5.500000e-02
5.070313e-01 4.375000e-01 0.0  0 6.000000e-02
4.803301e-01 4.379133e-01 0.0  0 6.500000e-02
4.688203e-01 4.444031e-01 0.0  0 7.000000e-02
4.654492e-01 4.521680e-01 0.0  0 7.500000e-02
4.563250e-01 4.541375e-01 0.0  0 8.000000e-02
4.530867e-01 4.619930e-01 0.0  0 8.500000e-02
4.483719e-01 4.683719e-01 0.0  0 9.000000e-02
4.395320e-01 4.725016e-01 0.0  0 9.500000e-02
4.371875e-01 4.900000e-01 0.0  0 1.000000e-01
4.310305e-01 4.998734e-01 0.0  0 1.050000e-01
4.230031e-01 5.127633e-01 0.0  0 1.100000e-01
4.218750e-01 5.551172e-01 0.0  0 1.150000e-01
4.218750e-01 6.022656e-01 0.0  0 1.200000e-01
4.218750e-01 6.494141e-01 0.0  0 1.250000e-01
4.218750e-01 6.965625e-01 0.0  0 1.300000e-01
4.216492e-01 7.427514e-01 0.0  0 1.350000e-01
4.158250e-01 7.651469e-01 0.0  0 1.400000e-01
4.075633e-01 7.724238e-01 0.0  0 1.450000e-01
4.062500e-01 7.968750e-01 0.0  0 1.500000e-01
4.062492e-01 8.246074e-01 0.0  0 1.550000e-01
4.022000e-01 8.422188e-01 0.0  0 1.600000e-01
3.931633e-01 8.473613e-01 0.0  0 1.650000e-01
3.906250e-01 8.687500e-01 0.0  0 1.700000e-01
3.906250e-01 8.964844e-01 0.0  0 1.750000e-01
3.881750e-01 9.180938e-01 0.0  0 1.800000e-01
3.791633e-01 9.241531e-01 0.0  0 1.850000e-01
3.750031e-01 9.518875e-01 0.0  0 1.900000e-01
3.750000e-01 9.962500e-01 0.0  0 1.950000e-01
3.750000e-01 1.040625e+00 0.0  0 2.000000e-01
3.750945e-01 1.084622e+00 0.0  0 2.050000e-01
3.802531e-01 1.108363e+00 0.0  0 2.100000e-01
3.888992e-01 1.115959e+00 0.0  0 2.150000e-01
3.906250e-01 1.144063e+00 0.0  0 2.200000e-01
3.906250e-01 1.177344e+00 0.0  0 2.250000e-01
3.940281e-01 1.200416e+00 0.0  0 2.300000e-01
4.031492e-01 1.206690e+00 0.0  0 2.350000e-01
4.062500e-01 1.233333e+00 0.0  0 2.400000e-01
4.062500e-01 1.270313e+00 0.0  0 2.450000e-01
4.062500e-01 1.307292e+00 0.0  0 2.500000e-01
4.065945e-01 1.343122e+00 0.0  0 2.550000e-01
4.128625e-01 1.359208e+00 0.0  0 2.600000e-01
4.208055e-01 1.373329e+00 0.0  0 2.650000e-01
4.218750e-01 1.418438e+00 0.0  0 2.700000e-01
4.218945e-01 1.468271e+00 0.0  0 2.750000e-01
4.263875e-01 1.497975e+00 0.0  0 2.800000e-01
4.353055e-01 1.503452e+00 0.0  0 2.850000e-01
4.380063e-01 1.520744e+00 0.0  0 2.900000e-01
4.498766e-01 1.531061e+00 0.0  0 2.950000e-01
4.662500e-01 1.534063e+00 0.0  0 3.000000e-01
4.706270e-01 1.543155e+00 0.0  0 3.050000e-01
4.890625e-01 1.546875e+00 0.0  0 3.100000e-01
5.167969e-01 1.546875e+00 0.0  0 3.150000e-01
5.407500e-01 1.548388e+00 0.0  0 3.200000e-01
5.472266e-01 1.556855e+00 0.0  0 3.250000e-01
5.584313e-01 1.562347e+00 0.0  0 3.300000e-01
5.752359e-01 1.565038e+00 0.0  0 3.350000e-01
5.805750e-01 1.574075e+00 0.0  0 3.400000e-01
6.087531e-01 1.578124e+00 0.0  0 3.450000e-01
6.378125e-01 1.581953e+00 0.0  0 3.500000e-01
6.458781e-01 1.591030e+00 0.0  0 3.550000e-01
6.793750e-01 1.593750e+00 0.0  0 3.600000e-01
7.237500e-01 1.593750e+00 0.0  0 3.650000e-01
7.590125e-01 1.596028e+00 0.0  0 3.700000e-01
7.675781e-01 1.604980e+00 0.0  0 3.750000e-01
7.944250e-01 1.609363e+00 0.0  0 3.800000e-01
8.387500e-01 1.609375e+00 0.0  0 3.850000e-01
8.786125e-01 1.610503e+00 0.0  0 3.900000e-01
8.908465e-01 1.618530e+00 0.0  0 3.950000e-01
9.081250e-01 1.624688e+00 0.0  0 4.000000e-01
9.458594e-01 1.625000e+00 0.0  0 4.050000e-01
9.833641e-01 1.624622e+00 0.0  0 4.100000e-01
9.998660e-01 1.618243e+00 0.0  0 4.150000e-01
1.009600e+00 1.610387e+00 0.0  0 4.200000e-01
1.036973e+00 1.608418e+00 0.0  0 4.250000e-01
1.046978e+00 1.600653e+00 0.0  0 4.300000e-01
1.063859e+00 1.594163e+00 0.0  0 4.350000e-01
1.103021e+00 1.593750e+00 0.0  0 4.400000e-01
1.143698e+00 1.593750e+00 0.0  0 4.450000e-01
1.184375e+00 1.593750e+00 0.0  0 4.500000e-01
1.214393e+00 1.590843e+00 0.0  0 4.550000e-01
1.221150e+00 1.581737e+00 0.0  0 4.600000e-01
1.243573e+00 1.578118e+00 0.0  0 4.650000e-01
1.264041e+00 1.573847e+00 0.0  0 4.700000e-01
1.271953e+00 1.564863e+00 0.0  0 4.750000e-01
1.306075e+00 1.562300e+00 0.0  0 4.800000e-01
1.327597e+00 1.556587e+00 0.0  0 4.850000e-01
1.333381e+00 1.548253e+00 0.0  0 4.900000e-01
1.351498e+00 1.546218e+00 0.0  0 4.950000e-01
1.359375e+00 1.539062e+00 0.0  0 5.000000e-01
1.367252e+00 1.531907e+00 0.0  0 5.050000e-01
1.385369e+00 1.529872e+00 0.0  0 5.100000e-01
1.390889e+00 1.521538e+00 0.0  0 5.150000e-01
1.401650e+00 1.515825e+00 0.0  0 5.200000e-01
1.418711e+00 1.513262e+00 0.0  0 5.250000e-01
1.422403e+00 1.504278e+00 0.0  0 5.300000e-01
1.429226e+00 1.500007e+00 0.0  0 5.350000e-01
1.436700e+00 1.492775e+00 0.0  0 5.400000e-01
1.438688e+00 1.474564e+00 0.0  0 5.450000e-01
1.446797e+00 1.468672e+00 0.0  0 5.500000e-01
1.452843e+00 1.463624e+00 0.0  0 5.550000e-01
1.455238e+00 1.454925e+00 0.0  0 5.600000e-01
1.464118e+00 1.452712e+00 0.0  0 5.650000e-01
1.468722e+00 1.446222e+00 0.0  0 5.700000e-01
1.472051e+00 1.438457e+00 0.0  0 5.750000e-01
1.481175e+00 1.436487e+00 0.0  0 5.800000e-01
1.484413e+00 1.428632e+00 0.0  0 5.850000e-01
1.489128e+00 1.422253e+00 0.0  0 5.900000e-01
1.497968e+00 1.418123e+00 0.0  0 5.950000e-01
1.500312e+00 1.400625e+00 0.0  0 6.000000e-01
1.506470e+00 1.390752e+00 0.0  0 6.050000e-01
1.514497e+00 1.387622e+00 0.0  0 6.100000e-01
1.516476e+00 1.378507e+00 0.0  0 6.150000e-01
1.524050e+00 1.374975e+00 0.0  0 6.200000e-01
1.530762e+00 1.366211e+00 0.0  0 6.250000e-01
1.532903e+00 1.348306e+00 0.0  0 6.300000e-01
1.541493e+00 1.343298e+00 0.0  0 6.350000e-01
1.546762e+00 1.331650e+00 0.0  0 6.400000e-01
1.549595e+00 1.315127e+00 0.0  0 6.450000e-01
1.558672e+00 1.310391e+00 0.0  0 6.500000e-01
1.562501e+00 1.288596e+00 0.0  0 6.550000e-01
1.566550e+00 1.267462e+00 0.0  0 6.600000e-01
1.575587e+00 1.262736e+00 0.0  0 6.650000e-01
1.578278e+00 1.245931e+00 0.0  0 6.700000e-01
1.583770e+00 1.234727e+00 0.0  0 6.750000e-01
1.592238e+00 1.224575e+00 0.0  0 6.800000e-01
1.594320e+00 1.188528e+00 0.0  0 6.850000e-01
1.601253e+00 1.171887e+00 0.0  0 6.900000e-01
1.608624e+00 1.154765e+00 0.0  0 6.950000e-01
1.609375e+00 1.107187e+00 0.0  0 7.000000e-01
1.609375e+00 1.056156e+00 0.0  0 7.050000e-01
1.609375e+00 1.005125e+00 0.0  0 7.100000e-01
1.609375e+00 9.540937e-01 0.0  0 7.150000e-01
1.609375e+00 9.030625e-01 0.0  0 7.200000e-01
1.609375e+00 8.520312e-01 0.0  0 7.250000e-01
1.605972e+00 8.166544e-01 0.0  0 7.300000e-01
1.596851e+00 8.103609e-01 0.0  0 7.350000e-01
1.593700e+00 7.944750e-01 0.0  0 7.400000e-01
1.588874e+00 7.819391e-01 0.0  0 7.450000e-01
1.580078e+00 7.763672e-01 0.0  0 7.500000e-01
1.578125e+00 7.535156e-01 0.0  0 7.550000e-01
1.578125e+00 7.257812e-01 0.0  0 7.600000e-01
1.575024e+00 7.057988e-01 0.0  0 7.650000e-01
1.565903e+00 6.995125e-01 0.0  0 7.700000e-01
1.562480e+00 6.688281e-01 0.0  0 7.750000e-01
1.557987e+00 6.424250e-01 0.0  0 7.800000e-01
1.549070e+00 6.388992e-01 0.0  0 7.850000e-01
1.546622e+00 6.302531e-01 0.0  0 7.900000e-01
1.540687e+00 6.250945e-01 0.0  0 7.950000e-01
1.532500e+00 6.193750e-01 0.0  0 8.000000e-01
