,J,z_1
0,0.4256830228697685,[-2.89602882]
1,0.4193916143133339,[0.15177375]
2,2.5619762264458146,[2.32380887]
3,0.3870787522859699,[0.25929709]
4,2.492901380901847,[1.8554156]
5,2.648351796479107,[3.]
6,2.645997446209387,[2.76981091]
7,0.4543050081612392,[-1.4180707]
8,2.648351796479107,[3.]
9,2.6584437854137883,[2.89319883]
10,2.498161525934973,[2.07836729]
11,2.306558864267124,[1.45909685]
12,2.61459707659175,[2.57332901]
13,0.4438569537928011,[-2.17073808]
14,0.461167486880459,[-0.69550816]
15,1.864070677454461,[1.10197292]
16,2.662246786676969,[2.94468004]
17,2.6224057968989216,[2.67894584]
18,2.6611592954975043,[2.90003413]
19,2.6601620274043363,[2.90499341]
20,2.6601620274043363,[2.9107452]
21,2.6594111079303087,[2.92614499]
22,2.661443430144145,[2.87871441]
23,2.661443430144145,[2.88107313]
24,2.6611592954975043,[2.90058489]
25,2.6601620274043363,[2.90287307]
26,2.661443430144145,[2.86657754]
27,2.661443430144145,[2.87297796]
28,2.661443430144145,[2.87587659]
29,2.661443430144145,[2.87195406]
30,2.661443430144145,[2.868219]
31,2.661718367612808,[2.85908838]
32,2.661718367612808,[2.85041271]
33,2.41110913510748,[1.6754154]
34,2.561201249388231,[2.45349816]
35,2.637411291012748,[2.82355097]
36,2.6601620274043363,[2.9099675]
37,2.6601620274043363,[2.9087353]
38,2.6601620274043363,[2.90756136]
39,1.0409584370897451,[0.77002096]
40,2.6601620274043363,[2.90713366]
41,2.540835947125548,[2.20629677]
42,2.6601620274043363,[2.90605015]
43,0.4498651609696871,[-0.28913866]
44,2.6601620274043363,[2.90554961]
45,2.6601620274043363,[2.90475659]
46,2.6601620274043363,[2.90402539]
47,0.4368125977771647,[-1.79414692]
48,2.187097289085259,[1.29730031]
49,2.500861135342785,[1.96134157]
50,2.6601620274043363,[2.90451556]
51,0.4568370383168719,[-1.0551731]
52,2.6601620274043363,[2.90446077]
53,2.6601620274043363,[2.90385125]
54,2.6601620274043363,[2.90327598]
55,0.4062137186187727,[-2.53096588]
56,2.6601620274043363,[2.90328971]
57,2.6601620274043363,[2.90276737]
58,2.6601620274043363,[2.90227045]
59,2.645997446209387,[2.73144507]
60,2.648351796479107,[2.97158857]
61,2.368840500293853,[1.57335054]
62,2.596081394101692,[2.52016298]
63,2.473359991921903,[1.77221479]
64,0.5899770161947443,[0.54531974]
65,2.616973295571886,[2.62521691]
66,2.6611592954975043,[2.89896351]
67,2.6611592954975043,[2.8988758]
68,2.6611592954975043,[2.89878631]
69,2.6611592954975043,[2.8986822]
70,2.6611592954975043,[2.89857945]
71,1.5909884168321884,[0.95523875]
72,2.5479671453330703,[2.26373284]
73,2.558757800227718,[2.38732438]
74,0.4256830228697685,[-2.99665641]
75,0.4518642587101828,[-0.48827383]
76,2.543632736564669,[2.14159908]
77,0.421291345918148,[-0.07651692]
78,0.4438569537928011,[-1.97510037]
79,0.4551399036631299,[-1.2294287]
80,2.2425030058481217,[1.37967233]
81,0.413844096565702,[-2.35747744]
82,0.4435092874248649,[-1.60572705]
83,2.4813822957101555,[1.91155566]
84,0.4599615645436301,[-0.87129519]
85,0.4010205839927733,[-2.70812299]
86,2.662109007620379,[2.94091236]
87,2.1207478164855487,[1.20310291]
88,2.495431012606156,[2.01419116]
89,2.645997446209387,[2.75537336]
90,2.6603867264098424,[2.94978198]
91,2.662109007620379,[2.93525817]
92,2.6496720719328013,[2.71204272]
93,2.61459707659175,[2.60174813]
94,0.4358056771896081,[0.40172672]
95,2.467150580894107,[1.72562579]
96,2.6484149522693863,[2.79363224]
97,2.3268818479019435,[1.51638279]
98,2.58558801680722,[2.48498295]
99,2.661718367612808,[2.85758547]
100,2.566063638307753,[2.35618642]
101,2.662109007620379,[2.93725697]
102,1.321570410617361,[0.86087576]
103,2.661718367612808,[2.85328196]
104,2.662109007620379,[2.93956735]
105,2.648351796479107,[2.9874682]
106,2.545699329777594,[2.17244173]
107,2.661718367612808,[2.86063348]
108,2.4896418746584343,[1.81428722]
109,2.662246786676969,[2.94308172]
110,2.6176477562958285,[2.65192627]
111,2.410307233728322,[1.62626093]
112,0.8209587760635952,[0.65908874]
113,2.6099565371527413,[2.54712578]
114,2.637142507375306,[2.84368976]
115,2.6601620274043363,[2.90425831]
116,2.6601620274043363,[2.90433341]
117,2.6601620274043363,[2.90440818]
118,2.661443430144145,[2.88907696]
119,2.661443430144145,[2.88793785]
120,2.661443430144145,[2.88694397]
121,2.661443430144145,[2.8859523]
122,2.661443430144145,[2.88505996]
123,2.661443430144145,[2.88421899]
124,2.661443430144145,[2.88341488]
125,2.661443430144145,[2.88261919]
126,2.661443430144145,[2.88184039]
127,2.661443430144145,[2.88108479]
128,2.661443430144145,[2.88030488]
129,2.661443430144145,[2.87952312]
130,2.661443430144145,[2.87886741]
131,2.661443430144145,[2.87819632]
132,2.661443430144145,[2.87758236]
133,2.661443430144145,[2.87716485]
134,2.661443430144145,[2.87654742]
135,2.6594111079303087,[2.93204654]
136,2.661443430144145,[2.87646964]
137,2.661443430144145,[2.87610214]
138,2.661443430144145,[2.87585759]
139,1.7257208602551604,[1.03200014]
140,0.4360693149141507,[0.03767623]
141,2.642818491505193,[2.80907288]
142,2.561201249388231,[2.42025016]
143,2.554300734653562,[2.2927233]
144,2.49656835398954,[2.04654063]
145,2.1470480504677334,[1.25044171]
146,0.4467567849225095,[-0.18359774]
147,0.4594101886655895,[-0.59227054]
148,2.661443430144145,[2.87728898]
149,2.661443430144145,[2.87677269]
150,2.5433988849489237,[2.11175102]
151,0.4452467474861521,[-0.3886063]
152,2.6507356518613925,[2.69760886]
153,2.5354490356362693,[2.23499469]
154,0.4438569537928011,[-2.07288499]
155,2.268176628256094,[1.41964425]
156,0.4543453058463418,[-1.32371196]
157,0.4256830228697685,[-2.80196013]
158,2.661443430144145,[2.88805391]
159,0.4272212224182637,[-1.69988545]
160,2.661443430144145,[2.88824318]
161,1.9682410243083732,[1.15467181]
162,2.4822814260206827,[1.88353698]
163,0.4190293849255133,[-2.2651824]
164,0.4532687167738614,[-1.51181849]
165,0.4626092600461547,[-0.96318897]
166,2.6601620274043363,[2.90225127]
167,0.4436727915616337,[-1.88481916]
168,2.6601620274043363,[2.90204777]
169,2.6601620274043363,[2.9014832]
170,2.6601620274043363,[2.90090924]
171,2.6611592954975043,[2.90033512]
172,2.6611592954975043,[2.89983785]
173,2.6611592954975043,[2.89933158]
174,2.6611592954975043,[2.89881441]
175,2.6611592954975043,[2.89829687]
176,2.6571558652591416,[2.89777575]
177,2.6571558652591416,[2.89730373]
178,2.6584437854137883,[2.89682892]
179,2.661443430144145,[2.86645802]
180,2.6594111079303087,[2.93213604]
181,2.661443430144145,[2.86674473]
182,2.661443430144145,[2.86846213]
183,2.661443430144145,[2.87410994]
184,2.661443430144145,[2.86826814]
185,2.661443430144145,[2.87263819]
186,2.661443430144145,[2.8711406]
187,2.661443430144145,[2.86898728]
188,2.661443430144145,[2.86628958]
189,2.661443430144145,[2.86782801]
190,2.661443430144145,[2.87250934]
191,2.661443430144145,[2.86930185]
192,2.661443430144145,[2.86811351]
193,2.661443430144145,[2.86977542]
194,2.661443430144145,[2.86847761]
195,2.662109007620379,[2.94067764]
196,2.662109007620379,[2.94152255]
197,2.662109007620379,[2.94154771]
198,2.661443430144145,[2.86914319]
199,2.661443430144145,[2.86746192]
200,2.661443430144145,[2.86877929]
201,2.662109007620379,[2.94134891]
202,2.662109007620379,[2.94122431]
203,2.662246786676969,[2.94468086]
204,2.661443430144145,[2.86707124]
