,index,J,z_1
109,109,2.662246786676969,[2.94308172]
203,203,2.662246786676969,[2.94468086]
16,16,2.662246786676969,[2.94468004]
195,195,2.662109007620379,[2.94067764]
197,197,2.662109007620379,[2.94154771]
104,104,2.662109007620379,[2.93956735]
101,101,2.662109007620379,[2.93725697]
91,91,2.662109007620379,[2.93525817]
201,201,2.662109007620379,[2.94134891]
86,86,2.662109007620379,[2.94091236]
202,202,2.662109007620379,[2.94122431]
196,196,2.662109007620379,[2.94152255]
31,31,2.661718367612808,[2.85908838]
103,103,2.661718367612808,[2.85328196]
32,32,2.661718367612808,[2.85041271]
107,107,2.661718367612808,[2.86063348]
99,99,2.661718367612808,[2.85758547]
118,118,2.661443430144145,[2.88907696]
182,182,2.661443430144145,[2.86846213]
193,193,2.661443430144145,[2.86977542]
192,192,2.661443430144145,[2.86811351]
188,188,2.661443430144145,[2.86628958]
183,183,2.661443430144145,[2.87410994]
189,189,2.661443430144145,[2.86782801]
184,184,2.661443430144145,[2.86826814]
119,119,2.661443430144145,[2.88793785]
185,185,2.661443430144145,[2.87263819]
190,190,2.661443430144145,[2.87250934]
187,187,2.661443430144145,[2.86898728]
191,191,2.661443430144145,[2.86930185]
204,204,2.661443430144145,[2.86707124]
120,120,2.661443430144145,[2.88694397]
133,133,2.661443430144145,[2.87716485]
160,160,2.661443430144145,[2.88824318]
158,158,2.661443430144145,[2.88805391]
149,149,2.661443430144145,[2.87677269]
148,148,2.661443430144145,[2.87728898]
179,179,2.661443430144145,[2.86645802]
181,181,2.661443430144145,[2.86674473]
138,138,2.661443430144145,[2.87585759]
137,137,2.661443430144145,[2.87610214]
136,136,2.661443430144145,[2.87646964]
134,134,2.661443430144145,[2.87654742]
132,132,2.661443430144145,[2.87758236]
194,194,2.661443430144145,[2.86847761]
131,131,2.661443430144145,[2.87819632]
130,130,2.661443430144145,[2.87886741]
129,129,2.661443430144145,[2.87952312]
128,128,2.661443430144145,[2.88030488]
127,127,2.661443430144145,[2.88108479]
126,126,2.661443430144145,[2.88184039]
125,125,2.661443430144145,[2.88261919]
124,124,2.661443430144145,[2.88341488]
123,123,2.661443430144145,[2.88421899]
122,122,2.661443430144145,[2.88505996]
121,121,2.661443430144145,[2.8859523]
186,186,2.661443430144145,[2.8711406]
22,22,2.661443430144145,[2.87871441]
200,200,2.661443430144145,[2.86877929]
198,198,2.661443430144145,[2.86914319]
30,30,2.661443430144145,[2.868219]
29,29,2.661443430144145,[2.87195406]
28,28,2.661443430144145,[2.87587659]
27,27,2.661443430144145,[2.87297796]
26,26,2.661443430144145,[2.86657754]
23,23,2.661443430144145,[2.88107313]
199,199,2.661443430144145,[2.86746192]
67,67,2.6611592954975043,[2.8988758]
175,175,2.6611592954975043,[2.89829687]
171,171,2.6611592954975043,[2.90033512]
172,172,2.6611592954975043,[2.89983785]
68,68,2.6611592954975043,[2.89878631]
174,174,2.6611592954975043,[2.89881441]
24,24,2.6611592954975043,[2.90058489]
173,173,2.6611592954975043,[2.89933158]
18,18,2.6611592954975043,[2.90003413]
66,66,2.6611592954975043,[2.89896351]
70,70,2.6611592954975043,[2.89857945]
69,69,2.6611592954975043,[2.8986822]
90,90,2.6603867264098424,[2.94978198]
40,40,2.6601620274043363,[2.90713366]
58,58,2.6601620274043363,[2.90227045]
38,38,2.6601620274043363,[2.90756136]
170,170,2.6601620274043363,[2.90090924]
37,37,2.6601620274043363,[2.9087353]
36,36,2.6601620274043363,[2.9099675]
117,117,2.6601620274043363,[2.90440818]
115,115,2.6601620274043363,[2.90425831]
116,116,2.6601620274043363,[2.90433341]
20,20,2.6601620274043363,[2.9107452]
166,166,2.6601620274043363,[2.90225127]
25,25,2.6601620274043363,[2.90287307]
19,19,2.6601620274043363,[2.90499341]
57,57,2.6601620274043363,[2.90276737]
168,168,2.6601620274043363,[2.90204777]
54,54,2.6601620274043363,[2.90327598]
52,52,2.6601620274043363,[2.90446077]
169,169,2.6601620274043363,[2.9014832]
46,46,2.6601620274043363,[2.90402539]
45,45,2.6601620274043363,[2.90475659]
50,50,2.6601620274043363,[2.90451556]
44,44,2.6601620274043363,[2.90554961]
